ID,albanian,arab,belarusian,bulgarian,chinese,czech,english,estonian,finnish,french,german,greek,hungarian,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch
11,Kaunas,Kawnas,,,Kaonasi,Kaunas,Kaunas,Kaunas,Kaunas,Kaunas,Kauen,Kaoynas,Kaunas,Kaunas,Kaunasu,Kauņa,Kaunas,Kowno,Kaunas,Kaunas,Kaunas,Kaunas,,Kaunas,Kaunas,Caunas,Kaunas
12,Vidzeme,Vidzeme,,,Weizemei,Vidzeme,Vidzeme,Vidzeme,Vidzeme,Vidzeme,Livland,Vintzeme,Vidzeme,Livonia,Vuidozeme,Vidzeme,Vidžemė,Liwonia,Vidzeme,Vidzeme,Vidzeme,Vidzeme,,Vidzeme,Vidzeme,Livônia,Vidzeme
13,Pärnu,Birnu,,,Pai'ernu,Pärnu,Pärnu,Pärnu,Pärnu,Pärnu,Paulenhof,Parnoy,Pärnu,Pärnu,Parunu,Pērnava,Pernu,Parnawa,Pärnu,Pjarnu,Pärnu,Pärnu,,Pärnu,Pärnu,Pärnu,Pärnu
14,Brittany,Badia,,,Bulietanibandao,Brittany,Brittany,Brittany,Brittany,Bretagne,Bretingen,Vretani,Brittany,Bretagna,Burutānyu,Bretaņa,Brittany,Brittany,Brittany,Bretan',Brittany,Breton,,Brittany,Breizh,Brittany,Bretagne
15,Normandy,Nurmandi,,,Nuomandidaqu,Normandie,Normandy,Normandia,Normandia,Normandie,Normanland,Normandy,Normandia,Normandia,Norumandī,Normandija,Normandija,Normandia,Normandia,Normandija,Normandie,Normandiya,,Normandija,Normandía,Normandia,Normandië
16,Île-de-France,Iil du frans,,,Falanxidaodaqu,Île-de-France,Ile de France,Île-de-France,Île-de-France,Île-de-France,Parisiuß,Il-nte-Frans,Île-de-France,Isola di Francia,Iru do furansu,Ildefransa,Il de Fransas,Île-de-France,Île-de-France,Il'-de-Frans,Île-de-France,Île-de-France,,Île-de-France,Isla de Francia,Ilha de França,Île-de-France
17,Franche-Comté,Fransh kunti,,,Fulangshi-kongtai,Franche-Comté,Franche-Comte,Franche-Comté,Franche-Comté,Franche-Comté,Burgund,Frans-Konte,Franche-Comté,Franca Contea,Furanshu konte ,Franškontē,Franš Kontė,Franche-Comté,Franche-Comté,Fransh-Konte,Franche-Comté,Franche-Comté,,Franche-Comté,Franco Condado,Franco-Condado,Franche-Comté
18,Shampanja,Shambania,,,Xiangbinjiu,Šampaňské víno,Champagne,Šampanja,Samppanja,Champagne,Schalun,Sabania,Champagne,Sciampagna,Shanpan,Šampanietis,Šampanas,Szampan,Șampanie,Shampanskoe,Champagne,Şampanya,,Šampanjac,Champán,Champanhe,Champagne
19,Akuitania,Aqtania,,,Ajitan,Akvitánie,Aquitaine,Akvitaania,Akvitania,Aquitaine,Fern-West Süd,Akoyitania,Aquitania,Aquitania,Akitēnu ,Akvitānija,Akvitanija,Akwitania,Aquitania,Akvitanija,Akvitanien,Akitanya,,Akvitanija,Aquitania,Aquitânia,Aquitanië
20,Lumi i Ronës,Alriwayat,,,Luonehe,Rhôna,Rhone,Rhône,Rhône,Rhône,Rotten,Rodanos,Rhône,Rodano,Rōnu kawa,Rona,Rona,Rodan,Ron,Rona,Rhône,Rhône Nehri,,Rhône,Ródano,Rio Ródano,Rhône
21,Provence,Brufins,,,Puluowangsi,Provence,Provence,Provence,Provence,Provence,Ostokzitanien,Provigkia,Provence,Provenza,Purovuansu,Provansa,Provansas,Prowansja,Provența,Provans,Provence,Provence,,Provansa,Provenza,Provença,Provence
22,Languedoc,Langhiduk,,,Langgeduoke,Languedoc,Languedoc,Languedoc,Languedoc,Languedoc,Munpetun,Langkntok,Languedoc,Linguadoca,Rangudokku,Languedoc,Langedokas,Langwedocja,Languedoc,Langedok,Languedoc,Languedoc,,Languedoc,Languedoc,Languedoc,Languedoc
23,Poitou,But,,,Puwatu,Poitou,Poitou,Poitou,Poitou,Poitou,Fern-West,Poyatoy,Poitou,Limonia,Powatoū,Poitou,Poitou,Poitou,Poitou,Puatu,Poitou,Poitou,,Poitou,Poitou,Poitou,Poitou
24,Centre,Markaz,,,Fazhong,Centre,Centre,Centre,Centre,Center,Zentrum,Centre,Center,Centro,Chūshin,Centre,Centre,Center,Centre,Centre,Center,Centre,,Centre,Center,Center,Center
25,Limousin,Lymwzan,,,Limuzan,Limousin,Limousin,Limousin,Limousin,Limousin,Lünheim,Limousin,Limousin,Limosino,Rimūzan ,Limuzēna,Limuzenas,Limousin,Limousin,Limuzen,Limousin,Limousin,,Limousin,Limosín,Limusino,Limousin
26,Auvernia,Uwfirn,,,Aofunie,Auvergne,Auvergne,Auvergne,Auvergne,Auvergne,Waldshafen,overni,Auvergne,Alvernia,Ōvuerunyu ,Overņa,Overnė,Owernia,Auvergne,Overn',Auvergne,Auvergne,,Auvergne,Auvernia,Auvérnia,Auvergne
27,Burgonja,Birghunia,,,Bogendi,Burgundsko,Bourgogne,Burgundia,Burgundi,Bourgogne,Niederburgund,Voyrgoyndia,Burgundia,Borgogna,Burugōnyu ,Burgundija,Burgundija,Burgundia,Burgundia,Burgundija,Bourgogne,Burgonya,,Burgundija,Borgoña,Borgonha,Bourgondië
28,Alsace-Lorraine,Alalzas walluwrin,,,A'ersasi-luolin,Alsasko-Lotrinsko,Alsace-Lorraine,Alsace-Lorraine,Elsass-Lothringen,Alsace-Lorraine,Elsaß-Lothringen,Alsace-Lorraine,Alsace-Lorraine,Alsazia-Lorena,Aruzasu rorēnu,Elzasa-Lotringa,Elzaso-Lotaringijos žemė,Alzacja-Lotaryngia,Alsacia-Lorena,El'zas-Lotaringija,Elsass-Lothringen,Alsas-Loren,,Elzas-Lotaringija,Territorio Imperial de Alsacia y Lorena,Alsácia-Lorena,Elzas-Lotharingen
29,Nord-Pas-de-Calais,Nur ba dw kalyh,,,Beibu-jialaihaixia,Nord-Pas-de-Calais,Nord-Pas-de-Calais,Nord-Pas-de-Calais,Nord-Pas-de-Calais,Nord-Pas-de-Calais,Nord-Kalen,Nord-Pas-de-Calais,Nord-Pas-de-Calais,Nord-Passo di Calais,Nōru pa do karē ,Nora-Padekalē,Šiaurė-Pa de Kalė,Nord-Pas-de-Calais,Nord-Pas-de-Calais,Nor — Pa-de-Kale,Nord-Pas-de-Calais,Nord-Pas-de-Calais,,Nord-Pas de Calais,Norte-Paso de Calais,Nord-Pas-de-Calais,Noord en Nauw van Kales
30,Loire,Lafan,,,Luwa'erhe,Loira,Loire,Loire,Loire,Loire,Lüdersdorf,Ligiras,Loire,Loira,Rowāru kawa,Luāra,Luara,Loara,Loara,Luara,Loire,Loire Nehri,,Loire,Río Loira,Rio Loire,Leie
31,Midi-Pyrénées,Midi birinah,,,Nanbu-biliniusi,Midi-Pyrénées,Midi Pyrenees,Midi-Pyrénées,Midi-Pyrénées,Midi-Pyrénées,Tolenberg,Midi Pyrenees,Midi-Pyrénées,Pirenei Centrali,Midi pirenē ,Dienvidi-Pireneji,Pietūs-Pirėnai,Midi-Pireneje,Midi-Pirinei,Jug-Pirenei,Midi-Pyrénées,Midi-Pyrénées,,Pireneji-Jug,Mediodía-Pirineos,Sul-Pirenéus,Zuid en Pyreneeën
32,Alpes,Alpes,,,A'erbeishan,Alpes,Alpes,Alpes,Alpes,Alpes,Alpenwestland,Alpes,Alpes,Delfinato,Alpes,Alpes,Alpes,Alpes,Alpes,Alpes,Alpes,Alpes,,Alpes,Alpes,Alpes,Alpes
33,Centre-Sud,Centre-Sud,,,Fazhongnan,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Zentrum-Süd,Centre-Sud,Centre-Sud,Centro Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,,Centre-Sud,Centre-Sud,Centre-Sud,Centrum-Zuid
34,Wallonie,Wallonie,,,Walongniya,Wallonie,Wallonie,Wallonie,Wallonie,Wallonie,Wallonien,Vallonia,Wallonie,Vallonia,Wallonie,Wallonie,Wallonie,Wallonie,Wallonie,Wallonie,Wallonie,Wallonie,,Wallonie,Valonia,Wallonie,Wallonië
35,Brabant,Brabant,,,Bulabante,Brabant,Brabant,Brabant,Brabant,Brabant,Brabant,Vravanti,Brabant,Brabante,Burabanto,Brabant,Brabantas,Brabancja,Brabant,Brabant,Brabant,Brabant,,Brabant,Brabante,Brabant,Brabant
36,Friesland,Farizland,,,Fulisilansheng,Frísko,Friesland,Friisimaa,Friisinmaa,Frise,Friesland,Eparchia Frislant,Frízföld,Frisia,Furīsuranto shū,Frizlande,Fryzija,Fryzja,Frizia,Frislandija,Friesland,Frizya,,Friesland,Provincia de Frisia,Frísia,Friesland
37,Zealand,Zilanda,,,Xilandao,Sjælland,Sjaelland,Sjælland,Sjælland,Seeland,Seeland,Selan,Sjælland,Selandia,Sheran-jima,Zēlande,Zelandija,Zelandia,Sjælland,Zelandija,Själland,Sjælland,,Zeland,Selandia,Zelândia,Zeeland
38,Norrland,Neverland,,,Nuo'erlan,Norrland,Norrland,Norrland,Norlanti,Norrland,Norrland,Norlant,Norrland,Nordica,Nōrurando,Norlande,Norlandas,Norrland,Norrland,Norrland,Norrland,Norrland,,Norrland,Norrland,Norlândia,Norrland
39,Bolcanos,Mattarstars,,,Bo'erzhanuo,Bolzano,South Tyrol,Bolzano,Etelä-Tiroli,Bolzano,Südtirol,Autonomi eparchia toy Boltsano,Bolzano,Alto Adige,Borutsuāno,Bolcāno,Pietų Tirolis,Bozen-Südtirol,Bolzano,Bol'tsano,Sydtyrolen,Güney Tirol,,Bocen,Provincia autónoma de Bolzano,Bolzano,Zuid-Tirol
40,Barnaul,Barnawul,,,Ba'ernao'er,Barnaul,Barnaul,Barnaul,Barnaul,Barnaoul,Barnaul,Barnaoyl,Barnaul,Luponia,Barunauru,Barnaula,Barnaulas,Barnauł,Barnaul,Barnaul,Barnaul,Barnaul,,Barnaul,Barnaúl,Barnaul,Barnaoel
41,Madridi,Madrid,,,Madeli,Madrid,Madrid,Madrid,Madrid,Madrid,Madrid,Madriti,Madrid,Madride,Madorīdo,Madride,Madridas,Madryt,Madrid,Madrid,Madrid,Madrid,,Madrid,Madrid,Madrid,Madrid
42,Moselland,Moselland,,,Mozelan,Moselland,Moselland,Moselland,Moselland,Moselle,Moselland,Moselland,Moselland,Mosella,Moselland,Moselland,Moselland,Moselland,Moselland,Moselland,Moselland,Moselland,,Moselland,Moselland,Moselland,Moselland
43,Northern Hungary,Northern Hungary,,,Hongbei,Northern Hungary,Northern Hungary,Põhja-Ungari,Northern Hungary,Hongrie septentrionale,Nordungarn,Northern Hungary,Észak-Magyarország,Ungheria Settentrionale,Kita,Northern Hungary,Northern Hungary,Northern Hungary,Ungaria de Nord,Severnaja Vengrija,Norra Ungern,Kuzey Macaristan,,Sjeverna Mađarska,Hungría Septentrional,Northern Hungary,Noordelijk Hongarije
44,Shqipëria,Albanya,,,A'erbaniya,Albánie,Albania,Albaania,Albania,Albanie,Albanien,Alvania,Albánia,Albania,Arubania,Albānija,Albanija,Albania,Albania,Albanija,Albanien,Arnavutluk,,Albanija,Albania,Albânia,Albanië
45,Vojvodina,Fawayfudina,,,Fuyifudingna,Vojvodina,Vojvodina,Vojvodina,Vojvodina,Voïvodine,Wojwodina,Voivontina,Vajdaság,Voivodina,Vuoivuodina,Vojvodina,Voivodina,Wojwodina,Voivodina,Voevodina,Vojvodina,Voyvodina,,Vojvodina,Voivodina,Voivodina,Vojvodina
46,Muntenia,Muntinia,,,Mengteniya,Munténie,Muntenia,Munteenia,Muntenia,Munténie,Wallachei,Muntenia,Munténia,Muntenia,Muntenia,Muntenia,Muntenija,Muntenia,Muntenia,Muntenija,Muntenia,Muntenya,,Muntenia,Muntenia,Muntênia,Muntenië
47,Attica,Atika,,,Atiqia,Attika,Attica,Attica,Attika,Attique,Attika,Attiki,Attika,Attica,Attika,Atika,Atika,Attyka,Attica,Attika,Attika,Attika,,Attica,Ática,Ática,Attica
48,Sofja,Sufya,,,Suofeiya,Sofie,Sofia,Sofia,Sofia,Sofia,Sofia,Sofia,Szófia,Sofia,Sofia,Sofija,Sofija,Sofia,Sofia,Sofija,Sofia,Sofya,,Sofija,Sofía,Sófia,Sofia
49,Ankaraja,Anqara,,,Anqiala,Ankara,Ankara,Ankara,Ankara,Ankara,Ankara,Άgkura,Ankara,Ancara,Ankara,Ankara,Ankara,Ankara,Ankara,Ankara,Ankara,Ankara,,Ankara,Ankara,Ancara,Ankara
50,Württemberg,Furtimbirgh,,,Futengbao,Württembersko,Württemberg,Württemberg,Württemberg,Wurtemberg,Württemberg,Vurtemvergi,Württemberg,Vittimberga,Vuyurutenberuku,Virtemberga,Viurtembergas,Wirtembergia,Württemberg,Vjurtemberg,Württemberg,Württemberg,,Württemberg,Wurtemberg,Vurtemberga,Württemberg
51,Rhineland,Raynland,,,Laiyinlan,Porýní,Rhineland,Reinimaa,Reininmaa,Rhénanie,Rheinland,Rinania,Rhineland,Renania,Rainranto,Reinzeme,Reino kraštas,Nadrenia,Renania,Rejnskaja oblast',Rhenlandet,Renanya,,Porajnje,Renania,Renânia,Rijnland
52,Oberbayern,Bafarya aleulya,,,Shangbafaliya,Horní Bavorsko,Oberbayern,Ülem-Baieri ringkond,Ylä-Baijeri,Haute-Bavière,Oberbayern,Άno Vauaria,Felső-Bajorország,Alta Baviera,Ōbābaierun,Augšbavārija,Aukštutinė Bavarija,Górna Bawaria,Oberbayern,Verhnjaja Bavarija,Oberbayern,Yukarı Bavyera,,Gornja Bavarska,Alta Baviera,Alta Baviera,Opper-Beieren
53,Niederbayern,Bafarya alsuflaa,,,Xiabafaliya,Dolní Bavorsko,Niederbayern,Alam-Baieri ringkond,Ala-Baijeri,Basse-Bavière,Niederbayern,Kato Vauaria,Alsó-Bajorország,Bassa Baviera,Nīdābaierun gyōseikanku,Niederbayern,Žemutinė Bavarija,Dolna Bawaria,Niederbayern,Nizhnjaja Bavarija,Niederbayern,Niederbayern,,Niederbayern,Baja Baviera,Baixa Baviera,Neder-Beieren
54,Franken,Franken,,,Fulanken,Franken,Franken,Franken,Franken,Franken,Franken,Fragkoi,Franken,Franconia,Furanken,Franken,Franken,Franken,Franken,Franken,Franken,Franken,,Franken,Franken,Franken,Franken
55,Hesia,Hysy,,,Heisen,Hesensko,Hessen,Hessen,Hessen,Hesse,Hessen,Έssi,Hessen,Assia,Hessen-shū,Hesene,Hesenas,Hesja,Hessa,Gessen,Hessen,Hessen,,Hessen,Hesse,Hesse,Hessen
56,Weser-Ems,Weser-Ems,,,Weixi-aimusi,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Visurgi-Amasi,Kanri chiku weser - emusu,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems,,Weser-Ems,Weser-Ems,Weser-Ems,Weser-Ems
57,Vestfalia,Wastafalya,,,Xifaliya,Vestfálsko,Westfalen,Vestfaal,Westfalen,Westphalie,Westfalen,Westfalen,Westfalen,Vestfalia,Vuesutofāren,Westfalen,Vestfalija,Westfalia,Westfalia,Vestfalija,Westfalen,Vestfalya,,Westfalen,Westfalia,Vestfália,Westfalen
58,Shlesvig-Holshtajni,Shlsafigh hulishtayin,,,Shilesuyige-he'ersitaiyin,Šlesvicko-Holštýnsko,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,Hambourg,Schleswig-Holstein,Slesvich-Cholstain,Schleswig-Holstein,Iutland Meridionale,Shurēsuvuihi horushutain-shū,Šlēsviga-Holšteina,Šlėzvigas-Holšteinas,Szlezwik-Holsztyn,Schleswig-Holstein,Shlezvig-Gol'shtejn,Schleswig-Holstein,Schleswig-Holstein,,Schleswig-Holstein,Schleswig-Holstein,Eslésvico-Holsácia,Sleeswijk-Holstein
59,Hanoveri,Hanufar,,,Hannuowei,Hannover,Hannover,Hannover,Hannover,Hanovre,Hannover,Annovero,Hannover,Annover,Hanōfā,Hannovere,Hanoveris,Hanower,Hanovra,Gannover,Hannover,Hannover,,Hannover,Hannover,Hanôver,Hannover
60,Tyringia,Turinghin,,,Tulingen,Durynsko,Thüringen,Tüüringi,Thüringen,Thuringe,Thüringen,Thoyringia,Türingia,Turingia,Teyūringen shū,Tiringene,Tiuringija,Turyngia,Turingia,Tjuringija,Thüringen,Thüringen,,Tiringija,Turingia,Turíngia,Thuringen
61,Mecklenburg,Miklanburgh,,,Meikelunbao,Meklenbursko,Mecklenburg,Mecklenburg,Mecklenburg,Meklembourg,Mecklenburg,Mecklenburg,Mecklenburg,Meclemburgo,Mekurenburuku,Mecklenburg,Meklenburgas,Meklemburgia,Mecklenburg,Meklenburg,Mecklenburg,Mecklenburg,,Mecklenburg,Mecklemburgo,Meclemburgo,Mecklenburg
62,Vorpommern,Vorpommern,,,Xibomeilaniya,Vorpommern,Vorpommern,Vorpommern,Vorpommern,Poméranie occidentale,Vorpommern,Vorpommern,Vorpommern,Pomerania Anteriore,Vorpommern.,Vorpommern,Vorpommern,Pomorze Przednie,Pomerania Anterioară,Zapadnaja Pomeranija,Vorpommern,Vorpommern,,Vorpommern,Pomerania Occidental,Vorpommern,Voor-Pommeren
63,Hinterpommern,Hinterpommern,,,Houbomeilaniya,Hinterpommern,Hinterpommern,Hinterpommern,Taka-Pommeri,Poméranie ultérieure,Hinterpommern,Hinterpommern,Hinterpommern,Pomerania Orientale,Pōmaran,Hinterpommern,Hinterpommern,Pomorze Tylne,Pomerania Posterioară,Hinterpommern,Hinterpommern,Hinterpommern,,Hinterpommern,Pomerania Central,Transpomerânia,Achter-Pommeren
64,Brandenburgu,Brandinburgh,,,Bolandengbao,Braniborsko,Brandenburg,Brandenburg,Brandenburg,Brandebourg,Brandenburg,Vrandemvoyrgo,Brandenburg,Brandeburgo,Burandenburuku-shū,Brandenburga,Brandenburgas,Brandenburgia,Brandenburg,Brandenburg,Brandenburg,Brandenburg,,Brandenburg,Brandeburgo,Brandemburgo,Brandenburg
65,Saksonia,Saksunya,,,Sakesen,Sasko,Sachsen,Saksimaa,Saksi,Saxe,Sachsen,Saxonia,Szászország,Sassonia,Zakusen-shū,Saksija,Saksonija,Saksonia,Saxonia,Saksonija,Sachsen,Saksonya,,Saska,Sajonia,Saxônia,Saksen
66,Niederschlesien,Silizia alsuflaa,,,Xiaxilixiya,Dolní Slezsko,Niederschlesien,Alam-Sileesia,Niederschlesien,Basse-Silésie,Niederschlesien,Kato Silesia,Niederschlesien,Bassa Slesia,Shita no shirejia,Niederschlesien,Niederschlesien,Dolny Śląsk,Niederschlesien,Nizhnjaja Silezija,Nedre Schlesien,Aşağı Silezya,,Donja Šleska,Niederschlesien,Baixa Silésia,Neder-Silezië
67,Oberschlesien,Silizia aleulya,,,Shangxilixiya,Horní Slezsko,Oberschlesien,Ülem-Sileesia,Ylä-Sleesia,Haute-Silésie,Oberschlesien,Άno Silesia,Oberschlesien,Alta Slesia,Ob ob,Oberschlesien,Aukštutinė Silezija,Górny Śląsk,Silezia Superioară,Verhnjaja Silezija,Övre Schlesien,Yukarı Silezya,,Gornja Šleska,Alta Silesia,Alta Silésia,Opper-Silezië
68,Ostmark,Ostmark,,,Ostmark,Ostmark,Ostmark,Ostmark,Ostmark,Mark-Est,Ostmark,Ostmark,Ostmark,Marca Orientale,Osutomaruku,Ostmark,Ostmark,Ostmark,Ostmark,Ostmark,Ostmark,Ostmark,,Ostmark,Ostmark,Ostmark,Oostmark
69,Sudetenland,Alsuwdit,,,Sutaide,Sudety,Sudetenland,Sudeedimaa,Sudeettialueet,Région des Sudètes,Sudetenland,Soyditia,Szudétavidék,Sudeti,Zudēten chihō,Sudetenland,Sudetų kraštas,Kraj Sudetów,Sudetenland,Sudetskaja oblast',Sudetenland,Sudetenland,,Sudeti,Sudetenland,Região dos Sudetas,Sudetenland
70,Western Slovakia,Western Slovakia,,,Xisiluofake,RŠÚJ Západné Slovensko,Western Slovakia,Western Slovakia,Western Slovakia,Western Slovakia,Westslowakei,Western Slovakia,Western Slovakia,Slovacchia Occidentale,Westslovakia.,Western Slovakia,Western Slovakia,Western Slovakia,Western Slovakia,Western Slovakia,Western Slovakia,Western Slovakia,,Western Slovakia,Western Slovakia,Western Slovakia,Westelijk Slovakije
71,Eastern Slovakia,Eastern Slovakia,,,Dongsiluofake,SK-NUTS,Eastern Slovakia,Eastern Slovakia,Slovakian NUTS-aluejako,Eastern Slovakia,Ostslowakei,Eastern Slovakia,Eastern Slovakia,Slovacchia Orientale,Nattsu: sk.,Eastern Slovakia,NUTS:SK,Eastern Slovakia,Eastern Slovakia,Eastern Slovakia,Eastern Slovakia,Slovakya'nın İBBS'si,,Eastern Slovakia,Eastern Slovakia,Eastern Slovakia,Oostelijk Slovakije
72,Zaolzie,Zawilzi,,,Zha'ao'erjie,Zaolzie,Zaolzie,Zaolzie,Zaolzie,Zaolzie,Olsaland,Zaolzie,Zaolzie,Zaolzie,Orusējibieto.,Zaolzie,Zaolzie,Zaolzie,Transolza,Zaol'z'e,Zaolzie,Zaolzie,,Zaolzie,Zaolzie,Zaolzie,Zaolzie
73,Carpathian Ruthenia,Ruthinya alkarbatia,,,Ka'erbaqianlusainiya,Carpathian Ruthenia,Carpathian Ruthenia,Carpathian Ruthenia,Carpathian Ruthenia,Ruthénie subcarpathique,Transkarpathien,Roythinia ton Karpathion,Kárpátalja,Rutenia subcarpatica,Carpathian Ruthenia,Carpathian Ruthenia,Karpatų Rusia,Zakarpacie,Transcarpatia,Karpatskaja Rus',Transkarpatien,Carpathian Ruthenia,,Zakarpatje,Carpathian Ruthenia,Transcarpátia,Karpato-Roethenië
74,Eastern Sudetenland,Eastern Sudetenland,,,Dongsutaide,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Ostsudetenland,Eastern Sudetenland,Eastern Sudetenland,Sudeti orientali,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,,Eastern Sudetenland,Eastern Sudetenland,Eastern Sudetenland,Oostelijk Sudetenland
75,Moravia,Murafya,,,Molaweiya,Morava,Moravia,Morava,Määri,Moravie,Mähren,Moravia,Morvaország,Moravia,Moravuia,Morāvija,Moravija,Morawy,Moravia,Moravija,Mähren,Moravya,,Moravska,Moravia,Morávia,Moravië
76,North Transylvania,North Transylvania,,,Beitelanxiwaniya,North Transylvania,North Transylvania,North Transylvania,North Transylvania,North Transylvania,Nordsiebenbürgen,North Transylvania,North Transylvania,Transilvania Settentrionale,North Transylvania,North Transylvania,North Transylvania,North Transylvania,North Transylvania,North Transylvania,North Transylvania,North Transylvania,,North Transylvania,North Transylvania,North Transylvania,Noord-Transsylvanië
77,Dobrudja,Dibruja,,,Duobuluojia,Dobrudža,Dobrudja,Dobrudža,Dobrudzha,Dobroudja,Dobrich,Dovroytsa,Dobrudzsa,Dobrugia,Doburoja,Dobrudja,Dobrudža,Dobrudża,Dobrogea,Dobrudzha,Dobrudzja,Dobruca,,Dobrudža,Dobruja,Dobruja,Dobroedzja
78,Besarabia,Bisarabia,,,Bisalabiya,Besarábie,Bessarabia,Bessaraabia,Bessarabia,Bessarabie,Bessarabien,Vessaravia,Besszarábia,Bessarabia,Bessarabia,Besarābija,Besarabija,Besarabia,Basarabia,Bessarabija,Bessarabien,Besarabya,,Besarabija,Besarabia,Bessarábia,Bessarabië
79,Moldavia,Muldufa,,,Mo'erduowa,Moldavsko,Moldova,Moldova,Moldova,Moldavie,Moldawien,Moldavia,Moldova,Moldavia,Morudoba,Moldova,Moldavija,Mołdawia,Republica Moldova,Moldavija,Moldavien,Moldova,,Moldavija,Moldavia,Moldávia,Moldavië
80,Bucovina,Bukwfina,,,Bukeweina,Bukovina,Bucovina,Bukoviina,Bukovina,Bucovine,Bukowina,Voykovina,Bukovina,Bucovina,Bukovuina,Bukovina,Bukovina,Bukowina,Bucovina,Bukovina,Bukovina,Bukovina,,Bukovina,Bucovina,Bucovina,Boekovina
