Province id,StateID,albanian,arab,belarusian,bulgarian,chinese,czech,estonian,finnish,french,german,greek,hungarian,english,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch,hindi,danish,norwegian
485,15,Dieppe,Diyb,Dieppe,Diep,Diyepu,Dieppe,Dieppe,Dieppe,Dieppe,Diestadt,Dieppi,Dieppe,Dieppe,Dieppe,Dieppu,Dieppe,Dieppe,Dieppe,Dieppe,D'ep,Dieppe,Dieppe,Dyepp,Dieppe,Dieppe,Dieppe,Dieppe,,,
487,265,Mikhaylovka,,Michajlauka,,Mihayiluofuka,Mikhaylovka,Mikhaylovka,Mikhaylovka,Mikhaylovka,Michailaue,Mikhaylovka,Mihajlovka,Mikhaylovka,Michajlovka,,Mikhaylovka,Mikhaylovka,Michajłowka,Mikhaylovka,Mihajlovka,Mikhaylovka,Mikhaylovka,Mykhajlovka,Mikhaylovka,Mikhaylovka,Mikhaylovka,Mikhaylovka,,,
488,203,Cherkasy,Tishirkasi,Carkasy,Cherkasi,Qie'erqiase,Čerkasy,Tšerkassõ,Tšerkasy,Tcherkassy,Tscherkassen,Tserkasi,Cserkaszi,Cherkasy,Čerkasy,Cherukāsui,Čerkasi,Čerkasai,Czerkasy,Cerkasî,Cherkasy,Tjerkasy,Çerkası,Cherkasy,Čerkasy,Cherkasy,Tcherkássi,Tsjerkasy,,,
495,57,Dortmundi,Durtimund,Dortmund,Dortmund,Duotemengde,Dortmund,Dortmund,Dortmund,Trémoigne,Dortmund,Ntortmoynt,Dortmund,Dortmund,Dortmund,Dorutomunto,Dortmunde,Dortmundas,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmund,Dortmond,,,
512,24,Orleans,Uwrlian,Arliean,Orlean,Ao'erliang,Orléans,Orléans,Orléans,Orléans,Hohenzollern,Orleani,Orléans,Orleans,Orléans,Orurean,Orleāna,Orleanas,Orlean,Orléans,Orlean,Orléans,Orléans,Orlean,Orléans,Orleans,Orleães,Orléans,,,
513,93,Kowel,Kufl,Koviel,Kovel,Keweili,Kovel,Kovel,Kovel,Kovel,Kowel,Kowel,Kowel,Kowel,Kowel,Kōvueri,Koveļa,Kovelis,Kowel,Kovel,Kovel',Kovel,Kovel,Kovel,Kowel,Kóvel,Kovel,Kovel,,,
514,65,Dresdeni,Dirisdin,Drezden,Drezden,Deleisidun,Drážďany,Dresden,Dresden,Dresde,Dresden,Dresdi,Drezda,Dresden,Dresda,Doresuden,Drēzdene,Dresdenas,Drezno,Dresda,Drezden,Dresden,Dresden,Drezden,Dresden,Dresde,Dresden,Dresden,,,
516,6,Brukselit,Bruksil,Brusielski stalicny rehijon,Bryuksel,Bulusai'er,Bruselský,Brüsseli,Bryssel,Bruxelles,Brüssel,Periochi ton Vruxellon,Brüsszel,Brussels,Brusselle,Buryusseru,Briseles,Briuselio,Brukseli,Bruxelles,Brjussel'skij stolichnyj region,Bryssel,Brüksel,Brjusselskyj stolychnyj rehion,Bruxellesa,Región de Bruselas-Capital,Bruxelas,Brussels Hoofdstedelijk Gewest,,,
525,202,Kievi,Kiif,Kijeu,Kiev,Jifu,Kyjev,Kiiev,Kiova,Kiev,Kiroffo,Kievo,Kijev,Kiev,Kiev,Kiefu,Kijeva,Kijevas,Kijów,Kiev,Kiev,Kiev,Kiev,Kyyiv,Kijev,Kiev,Kiev,Kiev,,,
540,123,Plymouth,Bilimuth,Plymouth,Plimat,Pulimaosi,Plymouth,Plymouth,Plymouth,Plémosce,Pflaummund,Plimoyth,Plymouth,Plymouth,Plymouth,Purimasu,Plimuta,Plimutas,Plymouth,Plymouth,Plimut,Plymouth,Plymouth,Plimut,Plymouth,Plymouth,Plymouth,Pleimuiden,,,
549,28,Haguenau,Haghawina,Hagenau,Agno,Agenuo,Haguenau,Haguenau,Haguenau,Haguenau,Hagenau,Agkno,Haguenau,Haguenau,Haguenau,Agunō,Haguenau,Haguenau,Haguenau,Haguenau,Agno,Haguenau,Haguenau,Aheno,Haguenau,Haguenau,Haguenau,Hagenau,,,
552,66,Liegnitz,Lighnitsa,Liahnica,Legnitsa,Laigenicha,Lehnice,Legnica,Legnica,Legnica,Legnica,Legknitsa,Legnica,Liegnitz,Liegnitz,Regunitsua,Legņica,Legnica,Legnica,Legnica,Legnitsa,Legnica,Legnica,Lehnytsja,Liegnitz,Legnica,Legnica,Liegnits,,,
560,94,Pińsk,Binsuk,Pinsk,Pinsk,Pingsike,Pinsk,Pinsk,Pinsk,Pinsk,Neubrest,Pińsk,Pinszk,Pińsk,Pinsk,Pinsuku,Pinska,Pinskas,Pińsk,Pińsk,Pinsk,Pinsk,Pińsk,Pinsk,Pinsk,Pinsk,Pinsk,Pinsk,,,
562,90,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Aositeweice,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Osttrowiec.,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,Ostrovets,Ostrowiec,Ostrowiec,Ostrowiec,Ostrowiec,,,
564,55,Kaseli,Kasil,Kastiel,Kasel,Qiasai'er,Kassel,Kassel,Kassel,Cassel,Kassel,Kassel,Kassel,Kassel,Kassel,Kasseru,Kasele,Kaselis,Kassel,Kassel,Kassel',Kassel,Kassel,Kassel,Kassel,Kassel,Kassel,Kassel,,,
572,93,Lucku,Alrijal altawiu,Luck,Lutsk,Lucike,Luck,Lutsk,Lutsk,Loutsk,Luzk,Łuck,Luck,Łuck,Łuck,Rūtsuiku,Lucka,Luckas,Łuck,Luțk,Lutsk,Lutsk,Lutsk,Lutsk,Luck,Lutsk,Lutsk,Loetsk,,,
575,29,Dunkerque,Dwnkirk,Dziunkierk,Dyunkerk,Dunke'erke,Dunkerk,Dunkerque,Dunkerque,Dunkerque,Dünkirchen,Doynkerki,Dunkerque,Dunkerque,Dunkerque,Dankeruku,Denkerka,Diunkerkas,Dunkierka,Dunkerque,Djunkerk,Dunkerque,Dunkerque,Djunkerk,Dunkerque,Dunkerque,Dunquerque,Duinkerke,,,
577,80,Chernivtsi,Tshirnufitsi,Carnaucy,Chernivtsi,Qie'ernuofuce,Černovice,Tšernivtsi,Tšernivtsi,Tchernivtsi,Czernowitz,Chernivtsi,Csernyivci,Chernivtsi,Černivci,Cheruniutsuī,Čerņivci,Černivciai,Czerniowce,Cernăuți,Bukovina,Tjernivtsi,Çernivtsi,Chernivtsi,Černovci,Chernivtsí,Tchernivtsi,Tsjernovits,,,
587,51,Këlni,Kulunia,Koln,Kyoln,Kelong,Kolín nad Rýnem,Köln,Köln,Cologne,Köln,Kolonia,Köln,Köln,Colonia,Kerun,Ķelne,Kelnas,Kolonia,Köln,Kel'n,Köln,Köln,Keln,Köln,Colonia,Colônia,Keulen,,,
592,191,Võru,Fwru,Vyru,Varu,Wolu,Võru,Võru,Võru,Werro,Werro,Voru,Võru,Võru,Võru,Vuoru,Veru,Veru,Võru,Voru,Vyru,Võru,Võru,Vyru,Võru,Võru,Võru,Võru,,,
619,45,Novi Sad,Nwfy sad,Novy sad,Novi sad,Nuoweisade,Novi Sad,Novi Sad,Novi Sad,Novi Sad,Neusatz,Novi Sant,Újvidék,Novi Sad,Novi Sad,Novui sado,Novisada,Novi Sadas,Nowy Sad,Novi Sad,Novi-Sad,Novi Sad,Novi Sad,Novyj sad,Novi Sad,Novi Sad,Novi Sad,Nieuwplaats,,,
620,25,Limoges,Lymwj,Limoz,Limozh,Limori,Limoges,Limoges,Limoges,Limoges,Lünheim,Limoz,Limoges,Limoges,Limoges,Rimōju,Limoža,Limožas,Limoges,Limoges,Limozh,Limoges,Limoges,Limozh,Limoges,Limoges,Limoges,Limoges,,,
650,279,Santiago,Santiaghu,Santaa,Santyago de chile,Shengdiyage,Santiago de Chile,Santiago,Santiago de Chile,Santiago,Santiago de Chile,Santiago,Santiago de Chile,Santiago,Santiago del Cile,Santiago,Santjago,Santjagas,Santiago,Santiago de Chile,Sant'jago,Santiago de Chile,Santiag,Santjaho,Santiago de Chile,Santiago de Chile,Santiago,Santiago,,,
651,33,Châteauroux,Shatru,Zvier,Châteauroux,Shatuolu,Châteauroux,Châteauroux,Châteauroux,Châteauroux,Großschaffnat,Satoroy,Châteauroux,Châteauroux,Châteauroux,Shatōrū,Šatorū,Šatoru,Châteauroux,Châteauroux,Shatoru,Châteauroux,Châteauroux,Shatoru,Châteauroux,Châteauroux,Châteauroux,Châteauroux,,,
657,46,Konstanca,Kunistantsa,Kanstanca,Kyustendzha,Kangsitancha,Constanța,Constanța,Constanța,Constanța,Konstanz,Konstantza,Konstanca,Constanta,Costanza,Konsutantsua,Konstanca,Konstanca,Konstanca,Constanța,Konstantsa,Constanța,Köstence,Konstantsa,Constanța,Constanza,Constança,Constanța,,,
663,151,Zyrihu,Ziurkh,Ciurych,Tsyurih,Sulishi,Curych,Zürich,Zürich,Zurich,Zürich,Zurichi,Zürich,Zürich,Zurigo,Chūrihhi,Cirihe,Ciurichas,Zurych,Zürich,Tsjurih,Zürich,Zürih,Tsjurykh,Zürich,Zúrich,Zurique,Zurich,,,
673,153,Innsbruck,Iinsbruk,Insbruck,Insbruk,Yinsibuluke,Innsbruck,Innsbruck,Innsbruck,Innsbruck,Innsbruck,Ίnsbroyk,Innsbruck,Innsbruck,Innsbruck,Insuburukku,Insbruka,Insbrukas,Innsbruck,Innsbruck,Insbruk,Innsbruck,Innsbruck,Insbruk,Innsbruck,Innsbruck,Innsbruck,Innsbroek,,,
678,28,Mylhausen,Miluz,Moulus,Myuluz,Milusi,Mylhúzy,Mulhouse,Mulhouse,Mulhouse,Mülhausen,Muloyz,Mulhouse,Mulhouse,Mulhouse,Myurūzu,Miluza,Miulūzas,Miluza,Mulhouse,Mjuluz,Mulhouse,Mulhouse,Mjuluz,Mulhouse,Mulhouse,Mulhouse,Mulhuizen,,,
688,152,Salcburgu,Salizburgh,Zalcburh,Zaltsburg,Sa'ercibao,Salzburg,Salzburg,Salzburg,Salzbourg,Salzburg,Saltsboyrgk,Salzburg,Salzburg,Salisburgo,Zarutsuburuku,Zalcburga,Zalcburgas,Salzburg,Salzburg,Zal'tsburg,Salzburg,Salzburg,Zaltsburh,Salzburg,Salzburgo,Salzburgo,Salzburg,,,
690,84,Brashovi,Brashuf,Brasou,Brashov,Bulasuofu,Brašov,Brașov,Brașov,Brașov,Kronstadt,Brasov,Brassó,Brasov,Brașov,Burashovu,Brašova,Brašovas,Braszów,Brașov,Brashov,Brașov,Brașov,Brashov,Brașov,Brașov,Brașov,Kroonstad,,,
692,52,Mynihu,Miunikh,Miunchien,Myunhen,Munihei,Mnichov,München,München,Munich,München,Monacho,München,Munich,Monaco di Baviera,Myunhen,Minhene,Miunchenas,Monachium,München,Mjunhen,München,Münih,Mjunkhen,München,Múnich,Munique,Munchen,,,
708,52,Augsburg,Awghisburgh,Auhsburh,Augsburg,Aogesibao,Augsburg,Augsburg,Augsburg,Augsbourg,Augsburg,Aoygksboyrgk,Augsburg,Augsburg,Augusta,Aukusuburuku,Augsburga,Augsburgas,Augsburg,Augsburg,Augsburg,Augsburg,Augsburg,Auhsburh,Augsburg,Augsburgo,Augsburgo,Augsburg,,,
719,234,Novorossiysk,Nufurusisk,Novarasysk,Novorosiysk,Xinluoxisike,Novorossijsk,Novorossiisk,Novorossijsk,Novorossiïsk,Neu-Roswien,Novorosisk,Novorossiysk,Novorossiysk,Novorossijsk,Novuoroshīsuku,Novorosijska,Novorosijskas,Noworosyjsk,Novorossiisk,Novorossiysk,Novorossijsk,Novorossiysk,Novorosijsk,Novorosijsk,Novorosíisk,Novorossiisk,Nieuw-Rusland,,,
721,196,Kherson,Khayrsun,Chierson,Herson,He'ersong,Cherson,Herson,H’erson,Kherson,Cherson,Chersona,Herszon,Kherson,Cherson,Heruson,Hersona,Chersonas,Chersoń,Herson,Kherson,Cherson,Herson,Kherson,Herson,Jersón,Kherson,Cherson,,,
726,174,León,Alasad,Lin,Leon,Lai'ang,Leon,Leon,Leon,León,Leon,León,León,León,Leon,Reon,Leon,León,Leon,León,Leon,Leon,Leon,Leon,León,León,León,Leon,,,
732,152,Linc,Lintis,Linc,Lints,Linci,Linec,Linz,Linz,Linz,Linz,Lints,Linz,Linz,Linz,Rintsu,Linca,Lincas,Linz,Linz,Lints,Linz,Linz,Lints,Linz,Linz,Linz,Linz,,,
